model,algorithm,fpr,tpr
bench,my_rf,0.12829057914192898,0.3217431087727325
bench,my_rf,0.1302789290915201,0.3251744252544893
bench,my_rf,0.13386355998655763,0.331636737961798
bench,my_rf,0.13831634367648707,0.33941438865378015
bench,my_rf,0.14064075277248797,0.34387510008006406
bench,my_rf,0.14433740338299542,0.35088070456365095
bench,my_rf,0.14674582726559873,0.3553986045979641
bench,my_rf,0.15080654195138343,0.36311906668191696
bench,my_rf,0.15411112355774617,0.3698101338213428
bench,my_rf,0.15548336507225272,0.3725551870067483
bench,my_rf,0.15713565587543407,0.3752716458881391
bench,my_rf,0.1611403607034838,0.3831636737961798
bench,my_rf,0.16237257757365298,0.385451218117351
bench,my_rf,0.16573316903775065,0.392685577033055
bench,my_rf,0.16805757813375155,0.39783255175569027
bench,my_rf,0.1687016914977036,0.399605398604598
bench,my_rf,0.16965385907919794,0.40146402836554956
bench,my_rf,0.17021395765654757,0.4020359144458424
bench,my_rf,0.1720622829618013,0.4043234587670136
bench,my_rf,0.17365856390724768,0.4068111632162873
bench,my_rf,0.17673910608267054,0.4099279423538831
bench,my_rf,0.18068780105298532,0.41436005947615234
bench,my_rf,0.18208804749635935,0.41641884936520646
bench,my_rf,0.18357230872633584,0.41862061077433377
bench,my_rf,0.1872689593368433,0.42342445384879335
bench,my_rf,0.19096560994735073,0.42771359945098936
bench,my_rf,0.19242186624845972,0.43011552098821915
bench,my_rf,0.19583846757029238,0.4349193640626787
bench,my_rf,0.1986949703147754,0.4388939723207137
bench,my_rf,0.20138344348605355,0.4423538831064852
bench,my_rf,0.20662036518427243,0.45061763696671625
bench,my_rf,0.21048504536798476,0.4561363376415418
bench,my_rf,0.2134815727568052,0.4600537572915475
bench,my_rf,0.21555393749299875,0.46271302756490906
bench,my_rf,0.21857846981068668,0.46688779595104657
bench,my_rf,0.22154699227063962,0.47152007320141825
bench,my_rf,0.22487957880586984,0.4769529909641999
bench,my_rf,0.23048056457936597,0.4833009264554501
bench,my_rf,0.23428923490534334,0.4875328834496168
bench,my_rf,0.23756581158283857,0.49205078348393
bench,my_rf,0.24126246219334602,0.49762667276678485
bench,my_rf,0.24297076285426236,0.5003145373441611
bench,my_rf,0.24568724095440797,0.5041461740821228
bench,my_rf,0.2502800492886748,0.5096362804529337
bench,my_rf,0.25386468018371233,0.5152121697357886
bench,my_rf,0.25644113363952054,0.5179000343131648
bench,my_rf,0.2594656659572085,0.5222463685233901
bench,my_rf,0.2657667749523916,0.5309390369438408
bench,my_rf,0.268819312198947,0.5349708338099051
bench,my_rf,0.2724599529517195,0.5396602996683061
bench,my_rf,0.2762126134199619,0.5444641427427657
bench,my_rf,0.2787050520891677,0.5478668649205078
bench,my_rf,0.28296180127702475,0.554929658012124
bench,my_rf,0.2863223927411224,0.5588756719661443
bench,my_rf,0.28993502856502745,0.5642799954249114
bench,my_rf,0.2946398566147642,0.5715715429486447
bench,my_rf,0.2961241178447407,0.573372984101567
bench,my_rf,0.29858855158507897,0.5776907240077777
bench,my_rf,0.30068892125014,0.5803213999771245
bench,my_rf,0.30242522683992384,0.5825231613862518
